Year,SP500,TBill3Month,TBond10Year,Inflation
1928,0.44,0.03,0.01,-0.017
1929,-0.08,0.03,0.04,0
1930,-0.25,0.05,0.05,-0.023
1931,-0.44,0.02,-0.03,-0.09
1932,-0.09,0.01,0.09,-0.099
1933,0.5,0.01,0.02,-0.051
1934,-0.01,0,0.08,0.031
1935,0.47,0,0.04,0.022
1936,0.32,0,0.05,0.015
1937,-0.35,0,0.01,0.036
1938,0.29,0,0.04,-0.021
1939,-0.01,0,0.04,-0.014
1940,-0.11,0,0.05,0.007
1941,-0.13,0,-0.02,0.05
1942,0.19,0,0.02,0.109
1943,0.25,0,0.02,0.061
1944,0.19,0,0.03,0.017
1945,0.36,0,0.04,0.023
1946,-0.08,0,0.03,0.083
1947,0.05,0.01,0.01,0.144
1948,0.06,0.01,0.02,0.081
1949,0.18,0.01,0.05,-0.012
1950,0.31,0.01,0,0.013
1951,0.24,0.01,0,0.079
1952,0.18,0.02,0.02,0.019
1953,-0.01,0.02,0.04,0.008
1954,0.53,0.01,0.03,0.007
1955,0.33,0.02,-0.01,-0.004
1956,0.07,0.03,-0.02,0.015
1957,-0.1,0.03,0.07,0.033
1958,0.44,0.02,-0.02,0.028
1959,0.12,0.03,-0.03,0.007
1960,0,0.03,0.12,0.017
1961,0.27,0.02,0.02,0.01
1962,-0.09,0.03,0.06,0.01
1963,0.23,0.03,0.02,0.013
1964,0.16,0.04,0.04,0.013
1965,0.12,0.04,0.01,0.016
1966,-0.1,0.05,0.03,0.029
1967,0.24,0.04,-0.02,0.031
1968,0.11,0.05,0.03,0.042
1969,-0.08,0.07,-0.05,0.055
1970,0.04,0.07,0.17,0.057
1971,0.14,0.05,0.1,0.044
1972,0.19,0.04,0.03,0.032
1973,-0.14,0.07,0.04,0.062
1974,-0.26,0.08,0.02,0.11
1975,0.37,0.06,0.04,0.091
1976,0.24,0.05,0.16,0.058
1977,-0.07,0.05,0.01,0.065
1978,0.07,0.07,-0.01,0.076
1979,0.19,0.1,0.01,0.113
1980,0.32,0.11,-0.03,0.135
1981,-0.05,0.14,0.08,0.103
1982,0.2,0.11,0.33,0.062
1983,0.22,0.08,0.03,0.032
1984,0.06,0.1,0.14,0.043
1985,0.31,0.07,0.26,0.036
1986,0.18,0.06,0.24,0.019
1987,0.06,0.06,-0.05,0.036
1988,0.17,0.06,0.08,0.041
1989,0.31,0.08,0.18,0.048
1990,-0.03,0.08,0.06,0.054
1991,0.3,0.06,0.15,0.042
1992,0.07,0.03,0.09,0.03
1993,0.1,0.03,0.14,0.03
1994,0.01,0.04,-0.08,0.026
1995,0.37,0.06,0.23,0.028
1996,0.23,0.05,0.01,0.03
1997,0.33,0.05,0.1,0.023
1998,0.28,0.05,0.15,0.016
1999,0.21,0.05,-0.08,0.022
2000,-0.09,0.06,0.17,0.034
2001,-0.12,0.04,0.06,0.028
2002,-0.22,0.02,0.15,0.016
2003,0.28,0.01,0,0.023
2004,0.11,0.01,0.04,0.027
2005,0.05,0.03,0.03,0.034
2006,0.16,0.05,0.02,0.032
2007,0.05,0.05,0.1,0.028
2008,-0.37,0.02,0.2,0.038
2009,0.26,0,-0.11,-0.004
2010,0.15,0,0.08,0.016
2011,0.02,0,0.16,0.032
2012,0.16,0,0.03,0.021
2013,0.32,0,-0.09,0.015
2014,0.14,0,0.11,0.016
2015,0.01,0,0.01,0.001
